pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-0.755541,0.486873,12.316801,-0.940574,1.235357,12.295783,-0.604973,-0.168042,12.249822
-0.756958,0.484838,12.316085,-0.938475,1.232699,12.296932,-0.604907,-0.17046,12.253404
-0.757755,0.483312,12.315702,-0.941559,1.231484,12.29887,-0.605164,-0.170635,12.253006
-0.758619,0.483303,12.316668,-0.944438,1.228734,12.2944,-0.605004,-0.170331,12.25455
-0.759466,0.482478,12.316712,-0.947919,1.224498,12.290928,-0.60493,-0.168178,12.256028
-0.76107,0.481351,12.316495,-0.953281,1.219713,12.288289,-0.60485,-0.167911,12.255976
-0.762757,0.480809,12.31621,-0.955533,1.225633,12.296288,-0.604371,-0.167542,12.256681
-0.763207,0.480208,12.316302,-0.957509,1.22611,12.300044,-0.605258,-0.168317,12.255451
-0.76419,0.47959,12.316417,-0.959517,1.223353,12.299288,-0.604779,-0.167948,12.256156
-0.765691,0.47814,12.315633,-0.964651,1.228325,12.302495,-0.60508,-0.168409,12.255901
-0.766709,0.477407,12.315253,-0.970833,1.225272,12.298883,-0.604815,-0.167929,12.256066
-0.766709,0.477407,12.315253,-0.981258,1.217607,12.292668,-0.604442,-0.167505,12.256501
-0.767659,0.476905,12.315864,-0.981896,1.220952,12.2969,-0.604886,-0.167892,12.255886
-0.770094,0.474137,12.314769,-0.98535,1.221754,12.297622,-0.605382,-0.16887,12.255646
-0.773702,0.469909,12.311945,-0.985296,1.223474,12.300357,-0.604628,-0.167717,12.256283
-0.77368,0.472593,12.315708,-0.991617,1.215903,12.296045,-0.60519,-0.165694,12.259438
-0.774165,0.471876,12.315304,-0.992088,1.220739,12.297422,-0.604933,-0.165519,12.259836
-0.776063,0.470875,12.316528,-0.992338,1.224672,12.29989,-0.604657,-0.164965,12.261417
-0.777107,0.468771,12.317156,-0.996276,1.21785,12.297557,-0.605366,-0.164419,12.259657
-0.780028,0.465284,12.315658,-0.997247,1.216575,12.297658,-0.605366,-0.164419,12.259657
-0.781481,0.463132,12.314446,-0.998287,1.215094,12.296803,-0.604914,-0.163728,12.26004
-0.782624,0.46243,12.31593,-0.999521,1.21927,12.30115,-0.605136,-0.163921,12.259732
-0.782393,0.459095,12.319594,-1.000727,1.220413,12.30194,-0.605399,-0.162212,12.260865
-0.782223,0.45664,12.321896,-1.001224,1.22417,12.308085,-0.60461,-0.161078,12.261592
-0.783149,0.454066,12.323089,-1.003136,1.21448,12.305943,-0.605169,-0.161715,12.26094
-0.78302,0.453421,12.325445,-1.007378,1.209872,12.303346,-0.605204,-0.161696,12.26085
-0.784235,0.451409,12.32565,-1.012511,1.202673,12.300026,-0.605319,-0.161945,12.260812
-0.785517,0.449837,12.326919,-1.012662,1.199669,12.301105,-0.6057,-0.162673,12.26061
-0.785111,0.448807,12.328473,-1.012524,1.200079,12.303018,-0.605361,-0.160043,12.262252
-0.783843,0.447141,12.333936,-1.011921,1.197451,12.303229,-0.605361,-0.160043,12.262252
-0.782179,0.445296,12.341215,-1.012892,1.196175,12.303331,-0.60513,-0.159545,12.262327
-0.781736,0.445462,12.343549,-1.014097,1.193208,12.305334,-0.605591,-0.160541,12.262177
-0.781593,0.441634,12.346858,-1.015358,1.188516,12.304602,-0.605626,-0.160522,12.262087
-0.781951,0.439194,12.348524,-1.019314,1.183204,12.30405,-0.605201,-0.159508,12.262147
-0.780934,0.437563,12.35078,-1.021118,1.181065,12.306169,-0.605166,-0.159527,12.262237
-0.780808,0.43584,12.352849,-1.019936,1.178847,12.310153,-0.605051,-0.159278,12.262275
-0.780344,0.432856,12.355481,-1.021345,1.169342,12.310826,-0.605538,-0.159951,12.261802
-0.78063,0.42933,12.353372,-1.023879,1.163782,12.310253,-0.606034,-0.160928,12.261562
-0.780228,0.426546,12.352586,-1.023644,1.16136,12.309566,-0.604758,-0.159121,12.262762
-0.781043,0.42347,12.355002,-1.024745,1.154024,12.307183,-0.605405,-0.160329,12.262395
-0.780366,0.419657,12.358288,-1.025195,1.15143,12.308321,-0.605245,-0.159794,12.26229
-0.779487,0.417155,12.360331,-1.028277,1.148453,12.309349,-0.605095,-0.159564,12.262417
-0.778248,0.415407,12.364638,-1.02779,1.141354,12.30918,-0.605511,-0.160273,12.262125
-0.777412,0.411677,12.366558,-1.026202,1.138775,12.31169,-0.605724,-0.160163,12.261585
-0.776703,0.406902,12.370054,-1.024572,1.13654,12.311252,-0.605237,-0.15949,12.262057
-0.775877,0.403346,12.370185,-1.023908,1.135127,12.313607,-0.605382,-0.155345,12.264524
-0.775405,0.394334,12.37115,-1.021705,1.131204,12.314249,-0.604964,-0.154867,12.266464
-0.774449,0.384959,12.372232,-1.019889,1.129519,12.316362,-0.605167,-0.154682,12.26734
-0.775286,0.372316,12.373423,-1.02109,1.121616,12.31481,-0.605301,-0.150466,12.27122
-0.773711,0.368623,12.37624,-1.019207,1.117827,12.318775,-0.605717,-0.151175,12.270928
-0.772348,0.360979,12.37523,-1.021263,1.108987,12.318922,-0.605791,-0.153324,12.269452
-0.771205,0.350889,12.373372,-1.021868,1.100458,12.313673,-0.605262,-0.154552,12.268485
-0.767733,0.344739,12.376556,-1.023402,1.088255,12.313642,-0.605307,-0.154838,12.268628
-0.766624,0.335394,12.376931,-1.023097,1.081899,12.315126,-0.605564,-0.155013,12.268231
-0.763235,0.329196,12.379923,-1.02341,1.070829,12.307119,-0.605821,-0.155188,12.267834
-0.762326,0.32569,12.382784,-1.026426,1.059432,12.303473,-0.605236,-0.154876,12.268807
-0.760194,0.322503,12.390763,-1.02924,1.046539,12.300002,-0.606051,-0.155686,12.267759
-0.759436,0.318767,12.394156,-1.030145,1.030906,12.295714,-0.605227,-0.154571,12.268575
-0.757936,0.31892,12.397573,-1.029393,1.025004,12.295063,-0.605493,-0.15505,12.26841
-0.755325,0.309897,12.397168,-1.027829,1.008704,12.290441,-0.605041,-0.154359,12.268792
-0.753449,0.302011,12.399063,-1.028078,1.004026,12.289555,-0.605794,-0.155511,12.268156
-0.75072,0.290335,12.401389,-1.026228,1.000268,12.290657,-0.605821,-0.155188,12.267834
-0.748653,0.280409,12.402491,-1.023151,0.998669,12.293876,-0.60559,-0.15469,12.267909
-0.746658,0.279524,12.405683,-1.018351,0.997199,12.299103,-0.605084,-0.160901,12.264813
-0.74199,0.259053,12.398014,-1.014683,0.984451,12.297316,-0.604553,-0.159942,12.265143
-0.738391,0.249755,12.400598,-1.012224,0.974457,12.291103,-0.604181,-0.159519,12.265578
-0.733721,0.230007,12.397474,-1.00852,0.953624,12.288722,-0.602976,-0.157675,12.266597
-0.73077,0.221659,12.39792,-1.008099,0.94407,12.290241,-0.603242,-0.158154,12.266432
-0.727935,0.221397,12.404011,-1.006609,0.933142,12.290789,-0.602382,-0.157058,12.267339
-0.722613,0.202836,12.401695,-1.001863,0.924694,12.294479,-0.601373,-0.155731,12.268373
-0.719287,0.192806,12.404145,-0.996145,0.907118,12.293656,-0.602542,-0.157593,12.267443
-0.716543,0.178861,12.401137,-0.993211,0.891037,12.291595,-0.603259,-0.158764,12.266896
-0.711821,0.164018,12.398863,-0.990518,0.879,12.288644,-0.604233,-0.16011,12.265952
-0.706669,0.153612,12.398613,-0.988234,0.868769,12.290177,-0.605908,-0.162017,12.263996
-0.702017,0.143558,12.39987,-0.983791,0.848983,12.285757,-0.606794,-0.16279,12.262767
-0.695001,0.132629,12.40139,-0.972547,0.836646,12.296991,-0.606865,-0.162752,12.262588
-0.689882,0.116668,12.397176,-0.962746,0.821807,12.307024,-0.606644,-0.162559,12.262895
-0.685522,0.106115,12.396859,-0.959639,0.80973,12.308216,-0.606653,-0.162864,12.263127
-0.680223,0.090341,12.39236,-0.955657,0.783316,12.305644,-0.60622,-0.167401,12.25722
-0.676764,0.077464,12.388744,-0.95412,0.768635,12.298311,-0.606193,-0.167724,12.257542
-0.67283,0.069649,12.389064,-0.948136,0.7448,12.297771,-0.605581,-0.167733,12.258839
-0.668176,0.048489,12.384276,-0.947031,0.734703,12.29684,-0.604844,-0.167188,12.259942
-0.664593,0.041618,12.38417,-0.943845,0.727205,12.294399,-0.603221,-0.165868,12.262275
-0.659934,0.039452,12.388857,-0.939911,0.718633,12.288628,-0.602617,-0.166179,12.263806
-0.655806,0.038213,12.393578,-0.935909,0.706082,12.280694,-0.602958,-0.175655,12.261613
-0.652047,0.015178,12.381962,-0.93513,0.69408,12.2733,-0.603424,-0.180031,12.259491
-0.649122,0.005794,12.380269,-0.931071,0.68541,12.271579,-0.602744,-0.177608,12.258927
-0.64835,0.002939,12.380494,-0.928157,0.689658,12.273994,-0.603416,-0.181336,12.254386
-0.6479,-0.003114,12.37688,-0.925937,0.694764,12.276114,-0.604028,-0.181327,12.253088
-0.647567,-0.012006,12.373594,-0.926075,0.687083,12.274581,-0.605026,-0.180391,12.254767
-0.647541,-0.01997,12.369036,-0.926683,0.683008,12.261989,-0.60579,-0.168084,12.261595
-0.65065,-0.02641,12.362539,-0.926584,0.68734,12.257192,-0.61002,-0.149523,12.271417
-0.651579,-0.029152,12.360733,-0.924883,0.689181,12.253746,-0.609624,-0.13359,12.279298
-0.652951,-0.032498,12.358996,-0.919739,0.698155,12.256989,-0.609624,-0.13359,12.279298
-0.654489,-0.035756,12.356842,-0.917824,0.703576,12.260189,-0.609624,-0.13359,12.279298
-0.655575,-0.039931,12.354759,-0.916469,0.71302,12.262915,-0.609772,-0.131636,12.280466
-0.656723,-0.043452,12.35251,-0.908739,0.728862,12.25484,-0.609919,-0.129682,12.281634
-0.658001,-0.044715,12.350882,-0.908009,0.731696,12.250416,-0.60983,-0.129344,12.282994
-0.658723,-0.045302,12.34986,-0.910081,0.731912,12.242467,-0.609592,-0.130959,12.283186
-0.659444,-0.04589,12.348838,-0.909251,0.731378,12.241171,-0.609711,-0.130898,12.282887
-0.660248,-0.046432,12.347608,-0.908642,0.730855,12.237672,-0.609947,-0.130775,12.28229
-0.661207,-0.04738,12.346387,-0.909713,0.729494,12.232716,-0.609536,-0.127727,12.283729
-0.661569,-0.047319,12.345086,-0.909943,0.72605,12.228521,-0.609536,-0.127727,12.283729
-0.664334,-0.049379,12.34052,-0.907957,0.728795,12.229035,-0.609684,-0.125774,12.284896
-0.66609,-0.050654,12.336913,-0.907288,0.730503,12.228994,-0.609684,-0.125774,12.284896
-0.667156,-0.051461,12.333857,-0.90791,0.729882,12.224466,-0.609978,-0.121869,12.28723
-0.666252,-0.051246,12.334563,-0.909484,0.732366,12.221898,-0.610126,-0.119916,12.288397
-0.667293,-0.052148,12.333134,-0.909799,0.728648,12.216492,-0.610126,-0.119916,12.288397
-0.667778,-0.052374,12.332311,-0.909859,0.726415,12.213029,-0.610126,-0.119916,12.288397
-0.667811,-0.052493,12.331841,-0.909701,0.725817,12.207413,-0.610126,-0.119916,12.288397
-0.667811,-0.052493,12.331841,-0.909701,0.725817,12.207413,-0.610126,-0.119916,12.288397
-0.667893,-0.051937,12.331774,-0.909504,0.724405,12.207579,-0.610126,-0.119916,12.288397
-0.667975,-0.051892,12.331566,-0.909504,0.724405,12.207579,-0.610126,-0.119916,12.288397
-0.668378,-0.052163,12.330951,-0.908834,0.726115,12.207539,-0.610464,-0.120432,12.288112
-0.66846,-0.052118,12.330743,-0.910211,0.722845,12.203518,-0.610464,-0.120432,12.288112
-0.668493,-0.052237,12.330273,-0.909149,0.722395,12.202127,-0.610464,-0.120432,12.288112
-0.668508,-0.053148,12.328929,-0.909149,0.722395,12.202127,-0.610464,-0.120432,12.288112
-0.668573,-0.053385,12.327989,-0.908794,0.720384,12.196674,-0.610464,-0.120432,12.288112
-0.66872,-0.054089,12.3267,-0.90977,0.721109,12.199277,-0.610464,-0.120432,12.288112
-0.66875,-0.055912,12.324013,-0.910685,0.724074,12.205348,-0.610464,-0.120432,12.288112
-0.668912,-0.056502,12.321663,-0.910943,0.723246,12.201713,-0.610464,-0.120432,12.288112
-0.669134,-0.059029,12.316159,-0.910379,0.725989,12.204409,-0.610464,-0.120432,12.288112
