r/v = 40,,,r/v = 10,
Time (ms),Loom Angular Size (¡),,Time (ms),Loom Angular Size (¡)
0,10.03595928,,0,10.03595928
2.787817635,10.09721234,,2.787817635,10.28552912
5.57563527,10.15921572,,5.57563527,10.54779191
8.363452904,10.22198325,,8.363452904,10.8237383
11.15127054,10.28552912,,11.15127054,11.11446442
13.93908817,10.34986783,,13.93908817,11.42118627
16.72690581,10.4150143,,16.72690581,11.74525656
19.51472344,10.48098378,,19.51472344,12.08818432
22.30254108,10.54779191,,22.30254108,12.45165813
25.09035871,10.61545476,,25.09035871,12.83757346
27.87817635,10.68398878,,27.87817635,13.24806527
30.66599398,10.75341086,,30.66599398,13.68554683
33.45381162,10.8237383,,33.45381162,14.15275636
36.24162925,10.8949889,,36.24162925,14.65281332
39.02944689,10.96718089,,39.02944689,15.18928674
41.81726452,11.04033299,,41.81726452,15.76627863
44.60508216,11.11446442,,44.60508216,16.38852667
47.39289979,11.18959492,,47.39289979,17.06153122
50.18071743,11.26574475,,50.18071743,17.79171394
52.96853506,11.34293474,,52.96853506,18.5866172
55.7563527,11.42118627,,55.7563527,19.4551571
58.54417033,11.50052132,,58.54417033,20.40794744
61.33198797,11.58096247,,61.33198797,21.4577186
64.1198056,11.66253293,,64.1198056,22.61986495
66.90762324,11.74525656,,66.90762324,23.91316849
69.69544087,11.82915792,,69.69544087,25.36076698
72.48325851,11.91426223,,72.48325851,26.99146656
75.27107614,12.00059546,,75.27107614,28.84154626
78.05889377,12.08818432,,78.05889377,30.95727633
80.84671141,12.17705631,,80.84671141,33.39848847
83.63452904,12.26723971,,83.63452904,36.2437205
86.42234668,12.35876365,,86.42234668,39.59775271
89.21016431,12.45165813,,89.21016431,43.60281897
91.99798195,12.54595404,,91.99798195,48.45549064
94.78579958,12.6416832,,94.78579958,54.43222311
97.57361722,12.73887841,,97.57361722,61.92751306
100.3614349,12.83757346,,100.3614349,71.50777451
103.1492525,12.93780318,,103.1492525,83.97442499
105.9370701,13.0396035,,105.9370701,100.3888578
108.7248878,13.14301146,,108.7248878,121.8907918
111.5127054,13.24806527,,111.5127054,148.951778
114.300523,13.35480436,,114.300523,180
117.0883407,13.46326941,,117.0883407,180
119.8761583,13.57350244,,119.8761583,180
122.6639759,13.68554683,,122.6639759,180
125.4517936,13.79944735,,125.4517936,180
128.2396112,13.9152503,,128.2396112,180
131.0274288,14.03300349,,131.0274288,180
133.8152465,14.15275636,,133.8152465,180
136.6030641,14.27456,,136.6030641,180
139.3908817,14.39846728,,139.3908817,180
142.1786994,14.52453286,,142.1786994,180
144.966517,14.65281332,,144.966517,180
147.7543346,14.78336722,,147.7543346,180
150.5421523,14.91625519,,150.5421523,180
153.3299699,15.05154001,,,
156.1177875,15.18928674,,,
158.9056052,15.32956278,,,
161.6934228,15.47243802,,,
164.4812405,15.61798492,,,
167.2690581,15.76627863,,,
170.0568757,15.91739715,,,
172.8446934,16.07142142,,,
175.632511,16.22843549,,,
178.4203286,16.38852667,,,
181.2081463,16.55178565,,,
183.9959639,16.71830673,,,
186.7837815,16.88818793,,,
189.5715992,17.06153122,,,
192.3594168,17.23844271,,,
195.1472344,17.41903284,,,
197.9350521,17.60341665,,,
200.7228697,17.79171394,,,
203.5106873,17.9840496,,,
206.298505,18.18055384,,,
209.0863226,18.38136247,,,
211.8741402,18.5866172,,,
214.6619579,18.79646599,,,
217.4497755,19.01106337,,,
220.2375932,19.23057081,,,
223.0254108,19.4551571,,,
225.8132284,19.68499879,,,
228.6010461,19.92028062,,,
231.3888637,20.16119598,,,
234.1766813,20.40794744,,,
236.964499,20.66074732,,,
239.7523166,20.91981819,,,
242.5401342,21.18539357,,,
245.3279519,21.4577186,,,
248.1157695,21.73705068,,,
250.9035871,22.02366034,,,
253.6914048,22.31783202,,,
256.4792224,22.61986495,,,
259.26704,22.93007415,,,
262.0548577,23.24879145,,,
264.8426753,23.5763666,,,
267.6304929,23.91316849,,,
270.4183106,24.25958644,,,
273.2061282,24.61603163,,,
275.9939458,24.98293862,,,
278.7817635,25.36076698,,,
281.5695811,25.75000312,,,
284.3573988,26.1511622,,,
287.1452164,26.56479027,,,
289.933034,26.99146656,,,
292.7208517,27.43180598,,,
295.5086693,27.88646184,,,
298.2964869,28.35612883,,,
301.0843046,28.84154626,,,
303.8721222,29.34350159,,,
306.6599398,29.86283436,,,
309.4477575,30.40044035,,,
312.2355751,30.95727633,,,
315.0233927,31.53436508,,,
317.8112104,32.13280107,,,
320.599028,32.75375657,,,
323.3868456,33.39848847,,,
326.1746633,34.06834576,,,
328.9624809,34.76477776,,,
331.7502985,35.48934325,,,
334.5381162,36.2437205,,,
337.3259338,37.02971841,,,
340.1137514,37.84928883,,,
342.9015691,38.70454022,,,
345.6893867,39.59775271,,,
348.4772044,40.53139494,,,
351.265022,41.50814264,,,
354.0528396,42.53089927,,,
356.8406573,43.60281897,,,
359.6284749,44.72733203,,,
362.4162925,45.90817308,,,
365.2041102,47.1494124,,,
367.9919278,48.45549064,,,
370.7797454,49.83125702,,,
373.5675631,51.28201165,,,
376.3553807,52.81355189,,,
379.1431983,54.43222311,,,
381.931016,56.14497387,,,
384.7188336,57.9594154,,,
387.5066512,59.88388506,,,
390.2944689,61.92751306,,,
393.0822865,64.10029105,,,
395.8701041,66.41314063,,,
398.6579218,68.87797862,,,
401.4457394,71.50777451,,,
404.233557,74.31659357,,,
407.0213747,77.31961651,,,
409.8091923,80.53312334,,,
412.59701,83.97442499,,,
415.3848276,87.66172134,,,
418.1726452,91.61385891,,,
420.9604629,95.8499559,,,
423.7482805,100.3888578,,,
426.5360981,105.248385,,,
429.3239158,110.4443373,,,
432.1117334,115.9892336,,,
434.899551,121.8907918,,,
437.6873687,128.150197,,,
440.4751863,134.7602701,,,
443.2630039,141.7037251,,,
446.0508216,148.951778,,,
448.8386392,156.4634221,,,
451.6264568,164.1856746,,,
454.4142745,172.0550081,,,
457.2020921,180,,,
459.9899097,180,,,
462.7777274,180,,,
465.565545,180,,,
468.3533626,180,,,
471.1411803,180,,,
473.9289979,180,,,
476.7168156,180,,,
479.5046332,180,,,
482.2924508,180,,,
485.0802685,180,,,
487.8680861,180,,,
490.6559037,180,,,
493.4437214,180,,,
496.231539,180,,,
499.0193566,180,,,
501.8071743,180,,,