"GF>+, r/v = 40",,,"GF>+, r/v = 10",,,"GF>Kir2.1, r/v = 40",,,"GF>Kir2.1, r/v = 10",
Wing Lift (ms),Take Off (ms),,Wing Lift (ms),Take Off (ms),,Wing Lift (ms),Take Off (ms),,Wing Lift (ms),Take Off (ms)
435.3333333,440.6666667,,133.5,137.5,,474.6666667,484,,138.8333333,144.6666667
430.8333333,438,,121.8333333,126.3333333,,433.3333333,443.6666667,,127.5,138.3333333
427.6666667,445.1666667,,120,124.8333333,,429.3333333,449.6666667,,126,142.5
420.6666667,434,,119.8333333,124.6666667,,426,439,,123,134.6666667
418.5,431.8333333,,119.5,126,,409.6666667,418.8333333,,119.1666667,124.8333333
382.5,403.8333333,,118.1666667,122.1666667,,401.6666667,423.3333333,,117.8333333,127.6666667
378.8333333,390.6666667,,117.6666667,133.1666667,,401,415.5,,116,134.8333333
375.8333333,381.8333333,,117.1666667,132.6666667,,399,417,,114.6666667,130
372.8333333,377.5,,116.6666667,120.6666667,,395.5,442.5,,113.1666667,126.8333333
365.8333333,370.1666667,,114.6666667,139.6666667,,393.8333333,417.5,,110.3333333,122
363,369,,112.3333333,117.5,,392.1666667,402.8333333,,109.3333333,119.6666667
354.5,364.6666667,,112.3333333,117.5,,390.5,400.8333333,,107.8333333,124.1666667
353.8333333,374.6666667,,110.5,115.3333333,,380.1666667,393.6666667,,107.8333333,124.8333333
353.1666667,365.8333333,,108,112.5,,370.8333333,382.1666667,,107.5,122.1666667
337.1666667,341.6666667,,106.8333333,111.8333333,,363.1666667,376.5,,106.5,141.1666667
328.1666667,333,,105.3333333,111.6666667,,338.6666667,358.3333333,,106.3333333,129.1666667
327.8333333,333.3333333,,103.5,109,,338,351.3333333,,106,119
326.5,331.5,,101.5,105,,334.5,354.6666667,,105.6666667,118
319.8333333,342.5,,101.3333333,105.1666667,,332,340.6666667,,102,134.5
317.1666667,325.1666667,,100.1666667,104.5,,330.6666667,347.6666667,,99.16666667,116.1666667
314.3333333,323.5,,99.66666667,104.1666667,,312.6666667,325.8333333,,97.33333333,116.6666667
308.1666667,312.8333333,,98.5,103.1666667,,311.3333333,328.3333333,,94.16666667,102.5
297.3333333,309.5,,96,100,,304.6666667,316.1666667,,94,108.6666667
297.1666667,301.1666667,,96,101,,303.3333333,327.6666667,,93.33333333,112.5
275.8333333,281.5,,95.33333333,101.1666667,,287.6666667,299.1666667,,87.5,97.16666667
269.8333333,282.1666667,,93.33333333,101.8333333,,281.8333333,290.1666667,,84.66666667,104
144.6666667,148.1666667,,90.83333333,96.33333333,,278.1666667,292.1666667,,48.83333333,105.8333333
85.5,94.66666667,,88.83333333,92.66666667,,252,259.6666667,,4.5,127.1666667
31,34.33333333,,82.33333333,89.16666667,,185,207.5,,0.833333333,32.66666667